Date,Ticker,Headline
2024-01-01,^NSEI,"Retail inflation cools to historic lows, boosting manufacturing projections."
2024-01-01,^NSEI,FII outflows accelerate across Indian blue chips amid global bond yield spikes.
2024-01-01,^NSEBANK,PSU banks rally aggressively following infrastructural credit budget increases.
2024-01-02,^NSEI,Nifty index reclaims crucial psychological support level on heavy institutional buying.
2024-01-02,^NSEI,"RBI holds repo rate steady, flags near-term inflation upside risks."
2024-01-02,^NSEBANK,HDFC Bank asset-quality metrics surprise Street analysts favorably.
2024-01-02,^NSEBANK,Private bank net interest margins experience unexpected compression.
2024-01-02,^NSEBANK,Banking regulation enforcement updates trigger broad sector consolidation.
2024-01-03,^NSEI,"RBI holds repo rate steady, flags near-term inflation upside risks."
2024-01-03,^NSEBANK,HDFC Bank asset-quality metrics surprise Street analysts favorably.
2024-01-04,^NSEI,"Retail inflation cools to historic lows, boosting manufacturing projections."
2024-01-04,^NSEI,"RBI holds repo rate steady, flags near-term inflation upside risks."
2024-01-04,^NSEBANK,Axis and ICICI Bank derivatives options capture massive upside volume sweeps.
2024-01-04,^NSEBANK,Interbank liquidity deficits drop significantly after market stabilization liquidity pumps.
2024-01-04,^NSEBANK,PSU banks rally aggressively following infrastructural credit budget increases.
2024-01-05,^NSEI,Nifty index reclaims crucial psychological support level on heavy institutional buying.
2024-01-05,^NSEI,"RBI holds repo rate steady, flags near-term inflation upside risks."
2024-01-05,^NSEI,"Retail inflation cools to historic lows, boosting manufacturing projections."
2024-01-05,^NSEBANK,Banking regulation enforcement updates trigger broad sector consolidation.
2024-01-05,^NSEBANK,PSU banks rally aggressively following infrastructural credit budget increases.
2024-01-05,^NSEBANK,Axis and ICICI Bank derivatives options capture massive upside volume sweeps.
2024-01-08,^NSEI,Corporate tax restructuring murmurs trigger volatile midday index swings.
2024-01-08,^NSEBANK,HDFC Bank asset-quality metrics surprise Street analysts favorably.
2024-01-08,^NSEBANK,Bad-loan provisions climb across mid-tier financial institutions.
2024-01-08,^NSEBANK,Banking regulation enforcement updates trigger broad sector consolidation.
2024-01-09,^NSEI,"GST collections surpass tracking estimates, pointing to robust domestic consumption."
2024-01-09,^NSEI,FII outflows accelerate across Indian blue chips amid global bond yield spikes.
2024-01-09,^NSEI,"Retail inflation cools to historic lows, boosting manufacturing projections."
2024-01-09,^NSEBANK,Private bank net interest margins experience unexpected compression.
2024-01-09,^NSEBANK,Axis and ICICI Bank derivatives options capture massive upside volume sweeps.
2024-01-09,^NSEBANK,HDFC Bank asset-quality metrics surprise Street analysts favorably.
2024-01-10,^NSEI,"RBI holds repo rate steady, flags near-term inflation upside risks."
2024-01-10,^NSEI,Nifty index reclaims crucial psychological support level on heavy institutional buying.
2024-01-10,^NSEBANK,Bad-loan provisions climb across mid-tier financial institutions.
2024-01-10,^NSEBANK,Interbank liquidity deficits drop significantly after market stabilization liquidity pumps.
2024-01-11,^NSEI,"RBI holds repo rate steady, flags near-term inflation upside risks."
